movie title,rating,worldwide total gross,release date,runtime (mins),production budget,domestic total gross
Blood Diamond,R,171407179,12/8/06 0:00,138,100000000,57377916
Blood Done Sign My Name,PG-13,N/A,2/19/10 0:00,128,10000000,109383
Blood Ties,Unrated,2760,2/11/11 0:00,93,20000,2760
Blood Work,R,31794718,8/9/02 0:00,110,50000000,26235081
BloodRayne,R,3650275,1/6/06 0:00,94,25000000,2405420
Blow,R,83282296,4/6/01 0:00,124,53000000,52990775
Blue Crush,PG-13,51843679,8/16/02 0:00,104,25000000,40390647
Blue Streak,PG-13,117758500,9/17/99 0:00,94,65000000,68518533
Blue Valentine,R,12355734,12/29/10 0:00,112,1000000,9706328
Blue Velvet,R,N/A,9/19/86 0:00,120,6000000,8551228
The Jungle Book (2016),PG,314184975,4/15/16 0:00,105,175000000,110284975
Boat Trip,R,15020293,3/21/03 0:00,95,20000000,8600126
Bobby Jones: Stroke of Genius,PG,2707913,4/30/04 0:00,120,20000000,2694071
Body of Evidence,R,N/A,1/15/93 0:00,99,30000000,13273595
Body of Lies,R,115097286,10/10/08 0:00,128,70000000,39394666
Boiler Room,R,28780255,2/18/00 0:00,120,7000000,16970581
Bolt,PG,309979994,11/21/08 0:00,96,150000000,114053579
The Bone Collector,R,151493655,11/5/99 0:00,118,73000000,66518655
Bones,R,8378853,10/26/01 0:00,92,16000000,7316658
The Bonfire of the Vanities,R,N/A,12/22/90 0:00,126,47000000,15691192
Boogeyman,PG-13,67192859,2/4/05 0:00,86,20000000,46752382
Boogie Nights,R,43101594,10/10/97 0:00,152,15000000,26400640
The Book of Eli,R,157107755,1/15/10 0:00,118,80000000,94835059
The Book of Life (2014),PG,99783556,10/17/14 0:00,95,50000000,50151543
Book of Mormon Movie,PG,N/A,9/12/03 0:00,120,1500000,1680020
Book of Shadows: Blair Witch 2,R,47737094,10/27/00 0:00,90,15000000,26437094
Boomerang,R,131052444,7/1/92 0:00,117,42000000,70052444
The Boondock Saints,R,N/A,1/21/00 0:00,110,6000000,30471
The Boondock Saints II: All Saints Day,R,10629321,10/30/09 0:00,118,8000000,10273188
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,R,261572744,11/3/06 0:00,84,18000000,128505958
The Boss,R,44822785,4/8/16 0:00,99,29000000,40866035
Bottle Rocket,R,N/A,2/21/96 0:00,92,7000000,560069
Bounce,PG-13,53425292,11/17/00 0:00,106,35000000,36805288
The Bounty Hunter,PG-13,136333522,3/19/10 0:00,106,40000000,67061228
The Bourne Identity,PG-13,214034224,6/14/02 0:00,118,60000000,121661683
The Bourne Legacy,PG-13,276144750,8/10/12 0:00,135,125000000,113203870
The Bourne Supremacy,PG-13,288500217,7/23/04 0:00,108,75000000,176241941
The Bourne Ultimatum,PG-13,442824138,8/3/07 0:00,111,110000000,227471070
Bowfinger,PG-13,98625775,8/13/99 0:00,97,55000000,66384775
Bowling for Columbine,R,58008423,10/11/02 0:00,120,4000000,21576018
The Box,PG-13,33333531,11/6/09 0:00,116,30000000,15051977
The Boxtrolls,PG,109285033,9/26/14 0:00,97,60000000,50837305
The Boy (2016),PG-13,35819556,1/22/16 0:00,98,10000000,35819556
The Boy Next Door,R,52425855,1/23/15 0:00,91,4000000,35423380
Boyhood,R,44495281,7/11/14 0:00,166,4000000,25352281
Boys and Girls,PG-13,25850615,6/16/00 0:00,102,35000000,21799652
Boys Don't Cry,R,N/A,10/8/99 0:00,118,2000000,11540607
Boyz N the Hood,R,N/A,7/12/91 0:00,107,6500000,57504069
The Jungle Book (2016),PG,314184975,4/15/16 0:00,105,175000000,110284975
Bram Stoker's Dracula,R,215862692,11/13/92 0:00,127,40000000,82522790
Brave,PG,538983207,6/22/12 0:00,100,185000000,237283207
Braveheart,R,210409945,5/24/95 0:00,177,72000000,75609945
The Break-Up,PG-13,204999686,6/2/06 0:00,106,52000000,118703275
Breakdown,R,N/A,5/2/97 0:00,93,36000000,50159144
Breakfast of Champions,R,N/A,9/17/99 0:00,110,12000000,178278
Breakin' All the Rules,PG-13,12544254,5/14/04 0:00,82,10000000,12264319
